keys,en,pl
LOADING_STEP_PRELOADING,Taking ammunition out of depot...,Wyciąganie amunicji z magazynów...
LOADING_STEP_LOADING_MAP,Creating map...,Tworzenie mapy...
LOADING_STEP_LOADING_MATCH,Preparing a ground for combat...,Przygotowywanie ziemi do walki...
LOADING_STEP_INSTANTIATING_MATCH,Setting up a camera...,Ustawianie kamery...
LOADING_STEP_STARTING_MATCH,Placing units in the field...,Rozmieszczanie jednostek...
BLUEPRINT_COLLIDES_WITH_OBJECT,Something already ocuppies that spot,Inny obiekt jest zbyt blisko
BLUEPRINT_NOT_BUILDABLE,Construction is not allowed here,Nie można tutaj budować
BLUEPRINT_NOT_NAVIGABLE,Irregular terrain,Nierówny teren
BLUEPRINT_NOT_ENOUGH_RESOURCES,Not enough resources,Brakuje zasobów
BLUEPRINT_OUT_OF_MAP,Out of map limits,Poza granicami mapy
RESOURCE_A,Blue Crystal,Niebieski Kryształ
RESOURCE_B,Red Crystal,Czerwony Kryształ
CANCEL_CURRENT_ACTION,Cancel current action,Anuluj aktualną akcję
